"","Date","Site.ID","Daily.Max.8.hour.Ozone.Concentration","Daily.Mean.PM2.5.Concentration","STATE_CODE","COUNTY_CODE","SITE_LATITUDE","SITE_LONGITUDE","Ozone_AQI","PM2.5_AQI"
"209",2020-04-16,420019991,0.046,NA,42,1,39.9231,-77.3078,43,NA
"210",2020-01-01,420030008,0.031,NA,42,3,40.46542033,-79.96075745,29,NA
"211",2020-01-02,420030008,0.03,NA,42,3,40.46542033,-79.96075745,28,NA
"212",2020-01-03,420030008,0.003,NA,42,3,40.46542033,-79.96075745,3,NA
"213",2020-01-04,420030008,0.029,NA,42,3,40.46542033,-79.96075745,27,NA
"214",2020-01-05,420030008,0.031,NA,42,3,40.46542033,-79.96075745,29,NA
"215",2020-01-06,420030008,0.029,NA,42,3,40.46542033,-79.96075745,27,NA
"216",2020-01-07,420030008,0.024,NA,42,3,40.46542033,-79.96075745,22,NA
"217",2020-01-08,420030008,0.031,NA,42,3,40.46542033,-79.96075745,29,NA
"218",2020-01-09,420030008,0.023,NA,42,3,40.46542033,-79.96075745,21,NA
"219",2020-01-10,420030008,0.024,NA,42,3,40.46542033,-79.96075745,22,NA
"220",2020-01-11,420030008,0.029,NA,42,3,40.46542033,-79.96075745,27,NA
"221",2020-01-12,420030008,0.025,NA,42,3,40.46542033,-79.96075745,23,NA
"222",2020-01-13,420030008,0.019,NA,42,3,40.46542033,-79.96075745,18,NA
"223",2020-01-14,420030008,0.021,NA,42,3,40.46542033,-79.96075745,19,NA
"224",2020-01-15,420030008,0.021,NA,42,3,40.46542033,-79.96075745,19,NA
"225",2020-01-16,420030008,0.027,NA,42,3,40.46542033,-79.96075745,25,NA
"226",2020-01-17,420030008,0.031,NA,42,3,40.46542033,-79.96075745,29,NA
"227",2020-01-18,420030008,0.025,NA,42,3,40.46542033,-79.96075745,23,NA
"228",2020-01-19,420030008,0.025,NA,42,3,40.46542033,-79.96075745,23,NA
"229",2020-01-20,420030008,0.036,NA,42,3,40.46542033,-79.96075745,33,NA
"230",2020-01-21,420030008,0.035,NA,42,3,40.46542033,-79.96075745,32,NA
"231",2020-01-22,420030008,0.019,NA,42,3,40.46542033,-79.96075745,18,NA
"232",2020-01-23,420030008,0.003,NA,42,3,40.46542033,-79.96075745,3,NA
"233",2020-01-24,420030008,0.021,NA,42,3,40.46542033,-79.96075745,19,NA
"234",2020-01-25,420030008,0.02,NA,42,3,40.46542033,-79.96075745,19,NA
"235",2020-01-26,420030008,0.023,NA,42,3,40.46542033,-79.96075745,21,NA
"236",2020-01-27,420030008,0.023,NA,42,3,40.46542033,-79.96075745,21,NA
