Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/13/2020,AirNow,420019991,1,0.023,ppm,21,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/14/2020,AirNow,420019991,1,0.016,ppm,15,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/15/2020,AirNow,420019991,1,0.034,ppm,31,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/16/2020,AirNow,420019991,1,0.033,ppm,31,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/17/2020,AirNow,420019991,1,0.036,ppm,33,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/18/2020,AirNow,420019991,1,0.028,ppm,26,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/19/2020,AirNow,420019991,1,0.03,ppm,28,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/20/2020,AirNow,420019991,1,0.043,ppm,40,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/21/2020,AirNow,420019991,1,0.041,ppm,38,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/22/2020,AirNow,420019991,1,0.037,ppm,34,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/23/2020,AirNow,420019991,1,0.029,ppm,27,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/24/2020,AirNow,420019991,1,0.037,ppm,34,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/25/2020,AirNow,420019991,1,0.033,ppm,31,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
