Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/22/2020,AirNow,420010001,7,7.1,ug/m3 LC,30,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/23/2020,AirNow,420010001,7,5.9,ug/m3 LC,25,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/24/2020,AirNow,420010001,7,7,ug/m3 LC,29,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/25/2020,AirNow,420010001,7,11.1,ug/m3 LC,46,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/26/2020,AirNow,420010001,7,9.1,ug/m3 LC,38,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/27/2020,AirNow,420010001,7,7.3,ug/m3 LC,30,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/28/2020,AirNow,420010001,7,10.9,ug/m3 LC,45,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/29/2020,AirNow,420010001,7,9.8,ug/m3 LC,41,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/30/2020,AirNow,420010001,7,6.9,ug/m3 LC,29,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/31/2020,AirNow,420010001,7,5.7,ug/m3 LC,24,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/1/2020,AirNow,420010001,7,7.7,ug/m3 LC,32,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/2/2020,AirNow,420010001,7,4.2,ug/m3 LC,18,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/3/2020,AirNow,420010001,7,3.1,ug/m3 LC,13,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/4/2020,AirNow,420010001,7,3.5,ug/m3 LC,15,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/5/2020,AirNow,420010001,7,8.6,ug/m3 LC,36,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/6/2020,AirNow,420010001,7,6.1,ug/m3 LC,25,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/7/2020,AirNow,420010001,7,7.9,ug/m3 LC,33,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/8/2020,AirNow,420010001,7,5.2,ug/m3 LC,22,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/9/2020,AirNow,420010001,7,4.7,ug/m3 LC,20,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/10/2020,AirNow,420010001,7,4.1,ug/m3 LC,17,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/11/2020,AirNow,420010001,7,6,ug/m3 LC,25,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/12/2020,AirNow,420010001,7,10.3,ug/m3 LC,43,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/13/2020,AirNow,420010001,7,3,ug/m3 LC,13,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/14/2020,AirNow,420010001,7,6.8,ug/m3 LC,28,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/15/2020,AirNow,420010001,7,8.1,ug/m3 LC,34,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/16/2020,AirNow,420010001,7,9,ug/m3 LC,38,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/17/2020,AirNow,420010001,7,12.4,ug/m3 LC,52,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/18/2020,AirNow,420010001,7,8.7,ug/m3 LC,36,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/19/2020,AirNow,420010001,7,7,ug/m3 LC,29,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/1/2020,AirNow,420030008,3,8.2,ug/m3 LC,34,Lawrenceville,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.46542033,-79.96075745
1/2/2020,AirNow,420030008,3,7.1,ug/m3 LC,30,Lawrenceville,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.46542033,-79.96075745
1/3/2020,AirNow,420030008,3,12,ug/m3 LC,50,Lawrenceville,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.46542033,-79.96075745
1/4/2020,AirNow,420030008,3,8.7,ug/m3 LC,36,Lawrenceville,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.46542033,-79.96075745
1/5/2020,AirNow,420030008,3,7.3,ug/m3 LC,30,Lawrenceville,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.46542033,-79.96075745
